,date,available,total,profit
0,2020-01-02,100000.0,100000.0,0.0
1,2020-01-03,80028.048,99980.048,-19.952000000004773
2,2020-01-03,64244.28,99964.28,-35.720000000001164
3,2020-01-06,51631.68,99951.68,-48.320000000006985
4,2020-01-06,42932.99,99942.98999999999,-57.01000000000931
5,2020-01-07,35449.513999999996,99935.514,-64.48600000000442
6,2020-01-07,28610.681999999997,99928.682,-71.3179999999993
7,2020-01-08,23605.681999999997,99923.682,-76.3179999999993
8,2020-01-08,20150.229999999996,99920.23,-79.77000000000407
9,2020-01-09,16450.533999999996,99916.534,-83.46600000000035
10,2020-01-09,14739.824999999995,99914.825,-85.17500000000291
11,2020-01-10,13020.106999999995,99913.107,-86.89299999999639
12,2020-01-13,11233.321999999995,99911.322,-88.67799999999988
13,2020-01-14,9421.511999999995,99909.512,-90.48799999999756
14,2020-01-15,8177.268999999995,99908.269,-91.73099999999977
15,2020-01-16,6951.043999999994,99907.044,-92.95600000000559
16,2020-01-17,5729.823999999994,99905.824,-94.17600000000675
17,2020-02-03,4593.688999999994,99904.689,-95.31100000000151
