datetime,open,high,low,close,volume,openinterest,ma5_over_ma10,dif_over_dea,mavol5_over_mavol10,plate
2001-01-08,17.88,18.4,17.3,17.6,28810249.0,0,,,,a
2001-01-09,17.38,17.78,17.32,17.5,4150492.0,0,,,,a
2001-01-10,17.5,17.8,17.41,17.68,2755757.0,0,,1,,a
2001-01-11,17.68,17.7,17.41,17.44,2358449.0,0,,-1,,a
2001-01-12,17.4,17.52,17.08,17.13,2701630.0,0,,,,a
2001-01-15,17.0,17.0,16.18,16.24,3096951.0,0,,,,a
2001-01-16,16.19,16.63,16.01,16.57,1311061.0,0,,,,a
2001-01-17,16.58,16.6,16.36,16.42,486470.0,0,,,,a
2001-01-18,16.4,16.5,16.3,16.45,635155.0,0,,,,a
2001-01-19,16.5,16.75,16.4,16.7,763002.0,0,,,,a
2001-02-05,16.7,16.7,16.1,16.1,802870.0,0,,,,a
2001-02-06,16.05,16.06,15.36,15.81,907168.0,0,,,,a
2001-02-07,15.6,15.8,15.5,15.58,463363.0,0,,,,a
2001-02-08,15.58,15.85,15.41,15.44,461501.0,0,,,,a
2001-02-09,15.45,15.88,15.45,15.73,445146.0,0,,,,a
2001-02-12,15.8,15.82,15.58,15.79,310830.0,0,,,,a
2001-02-13,15.81,15.83,15.67,15.69,286735.0,0,,,,a
2001-02-14,15.69,15.76,15.58,15.62,251420.0,0,,,,a
2001-02-15,15.63,15.76,15.5,15.5,263904.0,0,,,,a
2001-02-16,15.5,15.5,15.2,15.45,420404.0,0,,,,a
2001-02-19,15.48,15.75,15.4,15.68,449547.0,0,,,,a
2001-02-20,15.67,15.74,15.45,15.5,442788.0,0,,,,a
2001-02-21,15.4,15.4,15.2,15.22,543324.0,0,,,1.0,a
2001-02-22,15.1,15.5,15.01,15.2,259950.0,0,,,,a
2001-02-23,15.25,15.56,15.25,15.54,299997.0,0,,,,a
2001-02-26,15.6,15.73,15.44,15.7,406446.0,0,,1,,a
2001-02-27,15.7,15.75,15.58,15.69,372437.0,0,,,,a
2001-02-28,15.68,15.68,15.56,15.66,284810.0,0,1,,-1.0,a
2001-03-01,15.6,15.89,15.6,15.88,437451.0,0,,,,a
2001-03-02,15.98,15.98,15.85,15.92,551057.0,0,,,1.0,a
2001-03-05,15.92,15.94,15.7,15.74,318810.0,0,,,,a
2001-03-06,15.7,15.85,15.7,15.85,301680.0,0,,,,a
2001-03-07,15.84,15.93,15.77,15.82,294901.0,0,,,,a
2001-03-08,15.83,15.86,15.74,15.75,244579.0,0,,,-1.0,a
2001-03-09,15.74,15.78,15.62,15.69,497074.0,0,-1,,,a
2001-03-12,15.69,15.9,15.56,15.9,387320.0,0,1,,,a
2001-03-13,15.8,16.05,15.8,15.96,562578.0,0,,,1.0,a
2001-03-14,15.91,16.27,15.89,16.24,740217.0,0,,,,a
2001-03-15,16.27,16.32,16.12,16.19,720568.0,0,,,,a
2001-03-16,16.21,16.25,16.01,16.09,424599.0,0,,,,a
2001-03-19,16.08,16.4,16.05,16.32,381739.0,0,,,,a
2001-03-20,16.3,16.3,16.02,16.07,599908.0,0,,,,a
2001-03-21,16.08,16.18,16.03,16.14,549641.0,0,,,,a
2001-03-22,16.16,16.29,16.1,16.26,603990.0,0,,,-1.0,a
2001-03-23,16.22,16.38,16.0,16.01,521350.0,0,,,,a
2001-03-26,15.96,16.1,15.93,16.1,492379.0,0,-1,,,a
2001-03-27,16.15,16.3,16.11,16.29,418115.0,0,,,,a
2001-03-28,16.35,16.5,16.33,16.41,681639.0,0,1,,1.0,a
2001-03-29,16.42,16.46,16.2,16.3,524505.0,0,,,,a
2001-03-30,16.31,16.58,16.28,16.57,620828.0,0,,,,a
2001-04-02,16.67,16.92,16.65,16.83,1256240.0,0,,,,a
2001-04-03,16.82,16.88,16.58,16.7,626434.0,0,,,,a
2001-04-04,16.7,16.76,16.21,16.27,720625.0,0,,,,a
2001-04-05,16.27,16.69,16.26,16.68,497749.0,0,,,,a
2001-04-06,16.74,16.74,16.45,16.5,471380.0,0,,,,a
2001-04-09,16.51,16.67,16.33,16.56,344395.0,0,,,-1.0,a
2001-04-10,16.57,16.69,16.5,16.66,522620.0,0,-1,,,a
2001-04-11,16.7,16.9,16.65,16.86,829066.0,0,1,,,a
2001-04-12,16.87,16.88,16.65,16.71,604110.0,0,,,,a
2001-04-13,16.71,16.89,16.65,16.77,434270.0,0,,,,a
2001-04-16,16.8,17.0,16.8,17.0,1170504.0,0,,,1.0,a
