datetime,open,high,low,close,volume,openinterest,ma5_over_ma10,dif_over_dea,mavol5_over_mavol10
1994-01-03,13.5,13.5,12.0,12.1,2505000.0,0,,,
1994-01-04,11.9,12.1,11.5,11.55,1216700.0,0,,,
1994-01-05,11.4,11.7,11.0,11.7,1212900.0,0,,,
1994-01-06,11.9,12.75,11.55,12.75,2729300.0,0,,1,
1994-01-07,12.85,13.65,12.65,13.45,5004000.0,0,,,
1994-01-10,13.4,13.7,13.0,13.55,2899700.0,0,1,,
1994-01-11,13.5,13.55,13.0,13.1,1349400.0,0,,,
1994-01-12,13.0,13.3,12.95,13.25,773900.0,0,,,
1994-01-13,13.4,13.4,13.1,13.2,392200.0,0,,,
1994-01-14,13.2,13.3,12.7,12.9,748600.0,0,,,
1994-01-17,12.8,12.8,12.55,12.65,432200.0,0,,-1,
1994-01-18,12.5,13.0,12.3,12.85,365200.0,0,,,
1994-01-19,12.9,12.9,12.35,12.4,251200.0,0,-1,,
1994-01-20,12.4,12.45,12.15,12.25,473500.0,0,,,
1994-01-21,12.2,12.5,12.2,12.35,246000.0,0,,,
1994-01-24,12.65,12.95,12.5,12.65,671900.0,0,,,
1994-01-25,12.7,12.7,12.35,12.35,304400.0,0,,,
1994-01-26,12.3,12.55,12.2,12.25,316100.0,0,,,
1994-01-27,12.25,12.6,12.25,12.6,446800.0,0,,,
1994-01-28,12.8,12.8,12.2,12.25,446600.0,0,,,1.0
1994-01-31,11.95,12.1,11.7,11.7,363500.0,0,,,-1.0
1994-02-01,11.4,12.2,11.4,11.75,596700.0,0,,,1.0
1994-02-02,11.6,12.2,11.6,12.15,487500.0,0,,,
1994-02-03,12.3,13.1,12.2,13.1,1693300.0,0,,1,
1994-02-04,13.3,13.9,13.15,13.8,3013300.0,0,1,,
1994-02-14,14.0,14.0,12.5,12.6,1149100.0,0,,,
1994-02-15,12.4,12.7,12.0,12.65,726900.0,0,,,
1994-02-16,12.65,12.85,12.35,12.5,892800.0,0,,,
1994-02-17,12.4,12.6,12.25,12.5,396000.0,0,,,
1994-02-18,12.5,12.8,12.45,12.8,338500.0,0,,,-1.0
1994-02-21,12.7,12.7,12.1,12.2,494800.0,0,-1,-1,
1994-02-22,12.5,13.1,12.4,12.55,2251500.0,0,,,
1994-02-23,12.7,12.7,12.35,12.6,412000.0,0,,1,
1994-02-24,12.6,13.0,12.5,12.95,994600.0,0,,,
1994-02-25,13.2,13.4,12.8,12.95,2393400.0,0,1,,1.0
1994-02-28,13.0,13.1,12.6,12.65,550800.0,0,,,
1994-03-01,12.5,12.95,12.5,12.85,573900.0,0,,,
1994-03-02,12.7,12.85,12.6,12.75,374900.0,0,,,
1994-03-03,12.7,12.75,12.35,12.45,721400.0,0,,-1,
1994-03-04,12.3,12.4,12.2,12.25,401900.0,0,-1,,-1.0
1994-03-07,12.2,12.35,11.85,12.0,513000.0,0,,,
1994-03-08,12.05,12.1,11.8,11.85,501600.0,0,,,
1994-03-09,11.85,11.95,11.8,11.85,239600.0,0,,,
1994-03-10,11.8,11.85,11.6,11.65,414200.0,0,,,
1994-03-11,11.6,12.1,11.4,11.65,299900.0,0,,,
1994-03-14,11.95,12.55,11.95,12.45,956700.0,0,,,
1994-03-15,12.5,12.65,11.9,11.9,602900.0,0,,,1.0
1994-03-16,11.9,12.05,11.8,11.9,263100.0,0,,,
