datetime,open,high,low,close,volume,openinterest,ma5_over_ma10,dif_over_dea,mavol5_over_mavol10,plate
1994-04-04,25.0,26.19,19.66,19.89,9442736.0,0,,,,a
1994-04-05,19.45,20.2,17.8,19.7,2448449.0,0,,,,a
1994-04-06,19.38,19.38,18.32,18.34,760750.0,0,,,,a
1994-04-07,17.5,18.3,16.9,17.0,699050.0,0,,,,a
1994-04-08,17.08,17.8,17.0,17.4,917051.0,0,,,,a
1994-04-11,17.6,18.05,17.6,17.9,1049041.0,0,,,,a
1994-04-12,18.02,18.8,18.02,18.8,1127420.0,0,,1,,a
1994-04-13,19.08,19.25,17.82,18.09,1619000.0,0,,,,a
1994-04-14,18.08,18.08,16.8,16.9,467700.0,0,,-1,,a
1994-04-15,16.9,17.0,15.7,16.6,1707270.0,0,,,,a
1994-04-18,16.8,17.3,15.52,17.25,894558.0,0,,,,a
1994-04-19,17.2,18.0,16.61,16.85,775832.0,0,,,1.0,a
1994-04-20,16.5,16.5,15.35,15.35,349600.0,0,,,-1.0,a
1994-04-21,14.3,16.9,14.3,16.8,756560.0,0,,,,a
1994-04-22,16.62,17.18,15.61,15.78,883960.0,0,,,,a
1994-04-25,16.15,16.15,15.08,15.25,152001.0,0,,,,a
1994-04-26,15.5,16.28,15.4,16.1,217201.0,0,,,,a
1994-04-27,16.05,16.58,15.91,16.51,377600.0,0,,,,a
1994-04-28,16.72,16.72,15.42,15.56,185850.0,0,,,,a
1994-04-29,15.75,16.4,15.38,15.7,175050.0,0,,,,a
1994-05-03,12.2,12.78,12.2,12.7,252325.0,0,,,,a
1994-05-04,16.5,16.5,16.12,16.2,148900.0,0,,,,a
1994-05-05,16.0,16.0,15.3,15.4,124650.0,0,,,,a
1994-05-06,15.3,15.88,14.83,14.97,108803.0,0,,,,a
1994-05-09,15.0,15.18,14.69,14.9,58100.0,0,,,,a
1994-05-10,15.11,15.3,14.9,15.17,112100.0,0,1,,,a
1994-05-11,15.3,15.44,14.8,14.8,117950.0,0,-1,,,a
1994-05-12,14.7,15.15,14.58,14.68,77300.0,0,,,,a
1994-05-13,14.49,14.99,14.49,14.8,52950.0,0,,,,a
1994-05-16,15.0,15.14,14.81,14.84,104600.0,0,1,1,,a
1994-05-17,15.0,15.0,14.73,14.73,40850.0,0,-1,,,a
1994-05-18,14.68,14.76,14.53,14.54,53000.0,0,,,,a
1994-05-19,14.5,14.78,14.36,14.72,58180.0,0,,,,a
1994-05-20,14.75,14.76,14.55,14.71,69100.0,0,,,,a
1994-05-23,14.6,14.8,14.5,14.5,45200.0,0,,,,a
1994-05-24,14.65,14.69,14.5,14.52,23950.0,0,,,,a
1994-05-25,14.52,14.69,14.42,14.5,23500.0,0,,,,a
1994-05-26,14.5,14.6,14.3,14.3,73800.0,0,,,,a
1994-05-27,14.22,14.22,13.88,13.88,35500.0,0,,-1,,a
1994-05-30,14.0,14.12,13.05,13.05,51900.0,0,,,,a
1994-05-31,12.89,13.3,12.89,13.11,66400.0,0,,,1.0,a
1994-06-01,13.2,13.23,12.82,12.82,52000.0,0,,,,a
1994-06-02,12.8,12.9,12.75,12.75,27600.0,0,,,-1.0,a
1994-06-03,12.78,13.3,12.78,13.0,85200.0,0,,,1.0,a
1994-06-06,13.1,13.3,12.9,13.0,61300.0,0,,,,a
1994-06-07,13.0,13.05,12.3,12.3,52300.0,0,,,,a
1994-06-08,12.35,12.68,12.35,12.68,62193.0,0,,,,a
1994-06-09,12.68,12.76,12.12,12.12,57857.0,0,,,,a
1994-06-10,12.3,12.4,11.91,11.91,50400.0,0,,,,a
1994-06-13,11.91,12.18,11.72,11.72,51900.0,0,,,-1.0,a
1994-06-14,12.1,12.12,11.6,11.74,18500.0,0,,,,a
1994-06-15,11.85,11.9,11.61,11.84,20040.0,0,,,,a
1994-06-16,11.94,12.0,11.76,12.0,32050.0,0,,,,a
1994-06-17,12.2,12.74,12.0,12.6,117100.0,0,,1,,a
1994-06-20,12.2,12.64,11.78,11.78,64100.0,0,,,,a
1994-06-21,11.7,12.1,11.7,11.9,65400.0,0,,,1.0,a
1994-06-22,11.9,12.25,11.81,11.9,36100.0,0,1,,,a
1994-06-23,11.98,12.0,11.9,11.99,22500.0,0,,,,a
1994-06-24,11.99,12.0,11.71,12.0,31450.0,0,-1,,-1.0,a
1994-06-27,11.8,11.8,11.52,11.56,61645.0,0,,,,a
1994-06-28,11.5,11.6,11.48,11.56,25500.0,0,,,,a
1994-06-29,11.5,12.0,11.5,11.57,37524.0,0,,,,a
1994-06-30,11.52,11.78,11.48,11.7,55500.0,0,,,,a
1994-07-01,11.7,11.78,11.5,11.5,20500.0,0,,,,a
1994-07-04,11.15,11.2,10.8,10.85,33000.0,0,,,,a
1994-07-05,10.99,11.08,10.81,11.08,22500.0,0,,,,a
1994-07-06,10.7,10.99,10.7,10.74,23700.0,0,,-1,,a
1994-07-07,10.6,10.78,10.32,10.78,26195.0,0,,,,a
1994-07-08,10.59,11.0,10.59,11.0,46840.0,0,,1,,a
1994-07-11,10.82,11.0,10.46,10.53,21500.0,0,,-1,,a
1994-07-12,10.65,10.69,10.47,10.47,24000.0,0,,,,a
1994-07-13,10.5,11.0,10.46,10.67,12150.0,0,,,,a
1994-07-14,10.83,10.9,10.61,10.61,36200.0,0,,1,1.0,a
1994-07-15,10.55,10.56,10.19,10.2,59000.0,0,,-1,,a
1994-07-18,10.15,10.15,9.8,9.88,29250.0,0,,,,a
1994-07-19,9.8,9.88,9.7,9.8,15600.0,0,,,,a
1994-07-20,9.8,9.82,9.68,9.68,30000.0,0,,,,a
1994-07-21,9.5,9.5,9.21,9.21,46070.0,0,,,,a
1994-07-22,9.21,9.21,8.5,8.77,62150.0,0,,,,a
1994-07-25,8.5,8.95,8.29,8.95,59866.0,0,,,,a
1994-07-26,8.99,9.15,8.7,9.1,76834.0,0,,,,a
1994-07-27,9.08,9.34,8.74,8.76,210200.0,0,,,,a
1994-07-28,8.5,8.7,8.0,8.0,128100.0,0,,,,a
1994-07-29,7.9,8.1,7.57,7.88,115700.0,0,,,,a
1994-08-01,8.88,10.48,8.63,10.2,289642.0,0,,1,,a
1994-08-02,10.5,11.48,9.5,9.8,413400.0,0,,,,a
1994-08-03,9.7,11.99,9.7,11.41,468057.0,0,1,,,a
1994-08-04,12.38,12.49,11.68,12.0,1001050.0,0,,,,a
1994-08-05,12.4,13.98,12.05,13.5,736640.0,0,,,,a
1994-08-08,14.52,17.0,14.51,14.8,1085114.0,0,,,,a
1994-08-09,15.38,15.5,12.53,13.0,695600.0,0,,,,a
1994-08-10,13.1,15.45,12.65,15.29,540148.0,0,,,,a
