datetime,open,high,low,close,volume,openinterest,ma5_over_ma10,dif_over_dea,mavol5_over_mavol10
2019-11-21,12.24,14.69,12.24,14.69,152400.0,0,,,
2019-11-22,16.16,16.16,16.16,16.16,31300.0,0,,1,
2019-11-25,17.78,17.78,17.78,17.78,40400.0,0,,,
2019-11-26,19.56,19.56,19.56,19.56,84300.0,0,,,
2019-11-27,21.52,21.52,21.52,21.52,195700.0,0,,,
2019-11-28,23.67,23.67,23.67,23.67,302400.0,0,1,,
2019-11-29,26.04,26.04,26.04,26.04,291100.0,0,,,
2019-12-02,28.64,28.64,28.64,28.64,6265200.0,0,,,
2019-12-03,28.07,30.0,26.66,26.76,28697200.0,0,,,
2019-12-04,25.02,26.7,24.5,25.89,19122100.0,0,,,
2019-12-05,25.9,26.19,25.4,25.58,16032200.0,0,,,
2019-12-06,25.01,25.15,23.68,23.68,17393500.0,0,,,
2019-12-09,23.36,24.1,22.89,24.0,13210500.0,0,,-1,
2019-12-10,23.68,24.95,23.56,24.6,13169100.0,0,-1,,
2019-12-11,24.38,25.67,24.22,24.6,14974500.0,0,,,
2019-12-12,24.64,24.91,23.4,23.5,11338100.0,0,,,-1.0
2019-12-13,23.8,25.14,23.6,24.45,13262500.0,0,,,
2019-12-16,24.08,25.75,24.08,25.6,14960700.0,0,,,
2019-12-17,25.31,25.68,24.92,25.59,12780300.0,0,,,
2019-12-18,25.41,26.0,24.88,24.99,12251000.0,0,1,,
2019-12-19,25.25,25.86,24.28,24.6,11263500.0,0,,,
2019-12-20,24.44,24.67,23.03,23.1,11015400.0,0,,,
2019-12-23,22.21,22.64,22.08,22.1,6456700.0,0,-1,,
2019-12-24,22.02,22.29,21.8,22.25,4621400.0,0,,,
2019-12-25,22.35,22.88,22.21,22.25,5034200.0,0,,,
2019-12-26,22.35,24.48,22.05,24.48,11443300.0,0,,,
2019-12-27,25.8,26.93,25.1,26.93,23460800.0,0,,1,
2019-12-30,26.5,26.51,24.76,24.88,18226600.0,0,1,,1.0
2019-12-31,24.17,27.37,24.17,27.37,21971100.0,0,,,
